"congress","chamber","num_results","offset","members__id","members__api_uri","members__name","members__party","members__state","members__district","members__total_votes","members__loneno","members__rank","members__notes"
"114","House","12","0","A000367","https://api.propublica.org/congress/v1/members/A000367.json","Justin Amash","R","MI","3","1325","7","1",""
"","","","","M001177","https://api.propublica.org/congress/v1/members/M001177.json","Tom McClintock","R","CA","4","1325","2","2",""
"","","","","M001184","https://api.propublica.org/congress/v1/members/M001184.json","Thomas Massie","R","KY","4","1325","2","3",""
"","","","","S000244","https://api.propublica.org/congress/v1/members/S000244.json","F. James Sensenbrenner","R","WI","5","1325","2","4",""
"","","","","Y000033","https://api.propublica.org/congress/v1/members/Y000033.json","Don Young","R","AK","1","1311","2","5",""
"","","","","H001047","https://api.propublica.org/congress/v1/members/H001047.json","Jim Himes","D","CT","4","1325","1","6",""
"","","","","H001052","https://api.propublica.org/congress/v1/members/H001052.json","Andy Harris","R","MD","1","1325","1","7",""
"","","","","H001057","https://api.propublica.org/congress/v1/members/H001057.json","Tim Huelskamp","R","KS","1","1325","1","8","Lost primary election on Aug. 2, 2016."
"","","","","R000576","https://api.propublica.org/congress/v1/members/R000576.json","C.A. Dutch Ruppersberger","D","MD","2","1325","1","9",""
"","","","","S000248","https://api.propublica.org/congress/v1/members/S000248.json","José E. Serrano","D","NY","15","1325","1","10",""
"","","","","S001175","https://api.propublica.org/congress/v1/members/S001175.json","Jackie Speier","D","CA","14","1325","1","11",""
"","","","","V000081","https://api.propublica.org/congress/v1/members/V000081.json","Nydia M. Velázquez","D","NY","7","1320","1","12",""
